algorithm,elapsed_time_mean,elapsed_time_std,elapsed_time_min,elapsed_time_max,steps_mean,steps_std,steps_min,steps_max,total_cost_mean,total_cost_std,total_cost_min,total_cost_max
AStar,0.06687710523605342,0.01886789332574334,0.028365135192871,0.1089749336242675,53.92,13.093046963479464,26,82,inf,,20.0,inf
BFS,0.07880942344665523,0.01716345076488595,0.0347707271575927,0.1321110725402832,64.76,11.694011244645653,36,86,inf,,22.0,inf
DFS,0.02641792774200434,0.008553164019945986,0.0162882804870605,0.0654807090759277,23.78,6.056268144524633,19,47,inf,,24.0,inf
Dijkstra,0.07635282516479487,0.017211377670581493,0.0402173995971679,0.1317274570465088,64.18,11.391455241770148,37,85,inf,,20.0,inf
GBFS,0.027753486633300736,0.007861286724321674,0.0175263881683349,0.0587117671966552,23.2,6.105139414683934,19,52,inf,,24.0,inf
