algorithm,board_size,elapsed_time,steps,path_found,total_cost
BFS,"(10, 10)",0.10191226005554199,76,True,44.0
BFS,"(10, 10)",0.10418057441711426,79,True,42.0
BFS,"(10, 10)",0.08050680160522461,62,True,45.0
BFS,"(10, 10)",0.08242917060852051,65,True,43.0
BFS,"(10, 10)",0.08087301254272461,66,True,39.0
BFS,"(10, 10)",0.08054828643798828,45,True,35.0
BFS,"(10, 10)",0.09559035301208496,73,True,47.0
BFS,"(10, 10)",0.0665276050567627,52,True,inf
BFS,"(10, 10)",0.09568166732788086,72,True,inf
BFS,"(10, 10)",0.07892322540283203,60,True,inf
BFS,"(10, 10)",0.0965418815612793,78,True,38.0
BFS,"(10, 10)",0.04732227325439453,36,True,inf
BFS,"(10, 10)",0.08149218559265137,64,True,33.0
BFS,"(10, 10)",0.10095500946044922,78,True,44.0
BFS,"(10, 10)",0.10273623466491699,60,True,47.0
BFS,"(10, 10)",0.0789041519165039,58,True,inf
BFS,"(10, 10)",0.0700531005859375,50,True,42.0
BFS,"(10, 10)",0.08128476142883301,61,True,38.0
BFS,"(10, 10)",0.0942537784576416,75,True,inf
BFS,"(10, 10)",0.09168648719787598,72,True,inf
BFS,"(10, 10)",0.0958247184753418,82,True,24.0
BFS,"(10, 10)",0.0796351432800293,64,True,inf
BFS,"(10, 10)",0.09724545478820801,76,True,39.0
BFS,"(10, 10)",0.05694985389709473,46,True,32.0
BFS,"(10, 10)",0.08806777000427246,70,True,32.0
BFS,"(10, 10)",0.1321110725402832,73,True,37.0
BFS,"(10, 10)",0.06592392921447754,58,True,25.0
BFS,"(10, 10)",0.04997587203979492,42,True,49.0
BFS,"(10, 10)",0.1101996898651123,86,True,47.0
BFS,"(10, 10)",0.07826995849609375,61,True,34.0
BFS,"(10, 10)",0.10826492309570312,82,True,inf
BFS,"(10, 10)",0.08348989486694336,68,True,inf
BFS,"(10, 10)",0.053818702697753906,47,True,35.0
BFS,"(10, 10)",0.08708357810974121,74,True,44.0
BFS,"(10, 10)",0.0778191089630127,63,True,38.0
BFS,"(10, 10)",0.08783459663391113,76,True,40.0
BFS,"(10, 10)",0.08530044555664062,72,True,32.0
BFS,"(10, 10)",0.07942557334899902,64,True,inf
BFS,"(10, 10)",0.06494903564453125,56,True,47.0
BFS,"(10, 10)",0.08932614326477051,75,True,42.0
BFS,"(10, 10)",0.0889585018157959,75,True,34.0
BFS,"(10, 10)",0.08869409561157227,77,True,35.0
BFS,"(10, 10)",0.0790863037109375,65,True,43.0
BFS,"(10, 10)",0.10426664352416992,74,True,40.0
BFS,"(10, 10)",0.10408663749694824,85,True,inf
