algorithm,board_size,obstacle_density,elapsed_time,steps,path_found
DFS,"(50, 50)",0.25,0.994276762008667,159,True
DFS,"(50, 50)",0.25,0.9046630859375,145,True
DFS,"(50, 50)",0.25,1.219743013381958,290,True
DFS,"(50, 50)",0.25,1.1119813919067383,174,True
DFS,"(50, 50)",0.25,0.539151668548584,124,True
DFS,"(50, 50)",0.25,0.03618288040161133,6,False
DFS,"(50, 50)",0.25,1.013892412185669,160,True
DFS,"(50, 50)",0.25,0.014091253280639648,4,False
DFS,"(50, 50)",0.25,0.8770384788513184,140,True
DFS,"(50, 50)",0.25,1.0095973014831543,159,True
DFS,"(50, 50)",0.25,0.8749058246612549,136,True
DFS,"(50, 50)",0.25,0.9144165515899658,147,True
DFS,"(50, 50)",0.25,0.616396427154541,136,True
DFS,"(50, 50)",0.25,0.8588757514953613,133,True
DFS,"(50, 50)",0.25,0.9994802474975586,159,True
DFS,"(50, 50)",0.25,8.141021966934204,1859,False
DFS,"(50, 50)",0.25,0.6983311176300049,109,True
DFS,"(50, 50)",0.25,7.988032102584839,1835,False
DFS,"(50, 50)",0.25,11.447938203811646,1849,False
DFS,"(50, 50)",0.25,0.9550495147705078,137,True
DFS,"(50, 50)",0.25,2.1791739463806152,309,True
DFS,"(50, 50)",0.25,0.0072133541107177734,2,False
DFS,"(50, 50)",0.25,0.9746146202087402,153,True
DFS,"(50, 50)",0.25,0.041332244873046875,7,False
DFS,"(50, 50)",0.25,1.7302587032318115,278,True
DFS,"(50, 50)",0.25,1.1841750144958496,192,True
DFS,"(50, 50)",0.25,0.7196474075317383,171,True
DFS,"(50, 50)",0.25,2.147289991378784,341,True
DFS,"(50, 50)",0.25,0.7190432548522949,165,True
DFS,"(50, 50)",0.25,11.546576261520386,1865,False
DFS,"(50, 50)",0.25,0.8019142150878906,129,True
DFS,"(50, 50)",0.25,0.7559487819671631,177,True
DFS,"(50, 50)",0.25,0.8941037654876709,139,True
DFS,"(50, 50)",0.25,0.05011916160583496,8,False
DFS,"(50, 50)",0.25,0.9623143672943115,152,True
DFS,"(50, 50)",0.25,0.5742852687835693,131,True
DFS,"(50, 50)",0.25,1.2493529319763184,196,True
DFS,"(50, 50)",0.25,11.6078622341156,1861,False
DFS,"(50, 50)",0.25,0.8133692741394043,131,True
DFS,"(50, 50)",0.25,11.457655191421509,1845,False
DFS,"(50, 50)",0.25,0.9681882858276367,156,True
DFS,"(50, 50)",0.25,1.0831220149993896,175,True
DFS,"(50, 50)",0.25,0.940770149230957,152,True
DFS,"(50, 50)",0.25,0.7709681987762451,126,True
DFS,"(50, 50)",0.25,8.144200086593628,1854,False
DFS,"(50, 50)",0.25,0.7277414798736572,114,True
DFS,"(50, 50)",0.25,1.5937612056732178,355,True
DFS,"(50, 50)",0.25,0.9788906574249268,154,True
DFS,"(50, 50)",0.25,1.136589765548706,183,True
DFS,"(50, 50)",0.25,0.00913858413696289,3,False
DFS,"(50, 50)",0.25,0.8815550804138184,143,True
DFS,"(50, 50)",0.25,0.7937319278717041,128,True
DFS,"(50, 50)",0.25,0.5545499324798584,130,True
Dijkstra,"(50, 50)",0.25,11.49193787574768,1853,True
Dijkstra,"(50, 50)",0.25,7.990326642990112,1860,True
Dijkstra,"(50, 50)",0.25,11.57528042793274,1862,True
Dijkstra,"(50, 50)",0.25,11.468400955200195,1857,True
Dijkstra,"(50, 50)",0.25,0.059046268463134766,10,False
Dijkstra,"(50, 50)",0.25,0.021911144256591797,4,False
Dijkstra,"(50, 50)",0.25,8.043227672576904,1829,True
Dijkstra,"(50, 50)",0.25,11.536546468734741,1859,True
Dijkstra,"(50, 50)",0.25,0.046915292739868164,7,False
Dijkstra,"(50, 50)",0.25,11.525438070297241,1857,True
Dijkstra,"(50, 50)",0.25,11.517470836639404,1865,False
Dijkstra,"(50, 50)",0.25,0.03215765953063965,5,False
Dijkstra,"(50, 50)",0.25,8.174844026565552,1855,True
Dijkstra,"(50, 50)",0.25,11.318202495574951,1830,True
Dijkstra,"(50, 50)",0.25,8.17863154411316,1865,True
Dijkstra,"(50, 50)",0.25,11.372668266296387,1851,False
Dijkstra,"(50, 50)",0.25,11.446308612823486,1854,True
Dijkstra,"(50, 50)",0.25,8.114489316940308,1864,True
Dijkstra,"(50, 50)",0.25,11.426315307617188,1857,True
Dijkstra,"(50, 50)",0.25,11.459458351135254,1865,True
Dijkstra,"(50, 50)",0.25,8.061297178268433,1857,True
Dijkstra,"(50, 50)",0.25,11.524018049240112,1863,True
Dijkstra,"(50, 50)",0.25,11.517821788787842,1857,True
Dijkstra,"(50, 50)",0.25,0.054665327072143555,9,False
Dijkstra,"(50, 50)",0.25,11.458598375320435,1851,True
Dijkstra,"(50, 50)",0.25,8.143835306167603,1846,True
Dijkstra,"(50, 50)",0.25,11.56704592704773,1859,True
Dijkstra,"(50, 50)",0.25,0.007054567337036133,2,False
Dijkstra,"(50, 50)",0.25,8.197288036346436,1853,False
Dijkstra,"(50, 50)",0.25,11.35003924369812,1837,True
Dijkstra,"(50, 50)",0.25,0.014248132705688477,3,False
Dijkstra,"(50, 50)",0.25,8.09317135810852,1857,True
Dijkstra,"(50, 50)",0.25,0.008080244064331055,2,False
Dijkstra,"(50, 50)",0.25,0.007325649261474609,2,False
Dijkstra,"(50, 50)",0.25,11.5707266330719,1862,True
Dijkstra,"(50, 50)",0.25,0.00731968879699707,2,False
Dijkstra,"(50, 50)",0.25,11.633814334869385,1857,True
Dijkstra,"(50, 50)",0.25,11.559145212173462,1868,True
Dijkstra,"(50, 50)",0.25,11.46787691116333,1850,True
Dijkstra,"(50, 50)",0.25,0.009263277053833008,2,False
Dijkstra,"(50, 50)",0.25,8.211353778839111,1862,True
Dijkstra,"(50, 50)",0.25,11.505542039871216,1847,True
Dijkstra,"(50, 50)",0.25,11.504188537597656,1848,True
Dijkstra,"(50, 50)",0.25,0.012844085693359375,4,False
Dijkstra,"(50, 50)",0.25,0.03656315803527832,6,False
Dijkstra,"(50, 50)",0.25,11.50425100326538,1862,False
Dijkstra,"(50, 50)",0.25,8.21539044380188,1866,True
Dijkstra,"(50, 50)",0.25,11.56061053276062,1850,True
Dijkstra,"(50, 50)",0.25,11.58582854270935,1864,True
Dijkstra,"(50, 50)",0.25,8.09754467010498,1848,True
Dijkstra,"(50, 50)",0.25,11.515934467315674,1855,True
Dijkstra,"(50, 50)",0.25,8.14684510231018,1857,True
Dijkstra,"(50, 50)",0.25,0.03632068634033203,6,False
Dijkstra,"(50, 50)",0.25,8.154291152954102,1864,True
Dijkstra,"(50, 50)",0.25,0.020384788513183594,4,False
Dijkstra,"(50, 50)",0.25,8.201156616210938,1870,True
Dijkstra,"(50, 50)",0.25,11.482234954833984,1860,True
Dijkstra,"(50, 50)",0.25,11.412523984909058,1848,True
Dijkstra,"(50, 50)",0.25,11.530659675598145,1867,True
Dijkstra,"(50, 50)",0.25,8.063555002212524,1867,True
Dijkstra,"(50, 50)",0.25,11.54561710357666,1866,True
Dijkstra,"(50, 50)",0.25,11.537964344024658,1856,True
Dijkstra,"(50, 50)",0.25,11.547512769699097,1859,False
Dijkstra,"(50, 50)",0.25,8.155603885650635,1859,True
Dijkstra,"(50, 50)",0.25,11.407879114151001,1835,False
Dijkstra,"(50, 50)",0.25,7.963389158248901,1849,False
Dijkstra,"(50, 50)",0.25,11.5239577293396,1860,True
Dijkstra,"(50, 50)",0.25,11.539013624191284,1863,True
Dijkstra,"(50, 50)",0.25,0.0037970542907714844,2,False
Dijkstra,"(50, 50)",0.25,11.507476568222046,1852,True
Dijkstra,"(50, 50)",0.25,0.027433395385742188,7,False
Dijkstra,"(50, 50)",0.25,11.336624145507812,1851,True
Dijkstra,"(50, 50)",0.25,11.55251669883728,1868,True
Dijkstra,"(50, 50)",0.25,7.960528373718262,1852,True
Dijkstra,"(50, 50)",0.25,11.420848608016968,1853,True
Dijkstra,"(50, 50)",0.25,8.14267897605896,1861,True
Dijkstra,"(50, 50)",0.25,11.568556785583496,1865,False
Dijkstra,"(50, 50)",0.25,8.077564001083374,1851,True
Dijkstra,"(50, 50)",0.25,11.39495062828064,1830,True
Dijkstra,"(50, 50)",0.25,8.066797733306885,1862,True
Dijkstra,"(50, 50)",0.25,0.050263166427612305,8,False
Dijkstra,"(50, 50)",0.25,8.196390151977539,1861,True
Dijkstra,"(50, 50)",0.25,11.500925064086914,1854,True
Dijkstra,"(50, 50)",0.25,11.475321292877197,1859,True
Dijkstra,"(50, 50)",0.25,11.54505205154419,1861,False
Dijkstra,"(50, 50)",0.25,11.529399156570435,1864,True
Dijkstra,"(50, 50)",0.25,7.942347288131714,1845,False
Dijkstra,"(50, 50)",0.25,11.494215726852417,1853,True
Dijkstra,"(50, 50)",0.25,7.977157831192017,1864,True
Dijkstra,"(50, 50)",0.25,11.49581241607666,1849,True
Dijkstra,"(50, 50)",0.25,7.961482048034668,1856,True
Dijkstra,"(50, 50)",0.25,11.540170431137085,1854,False
Dijkstra,"(50, 50)",0.25,8.11570692062378,1854,True
Dijkstra,"(50, 50)",0.25,11.607976198196411,1863,True
Dijkstra,"(50, 50)",0.25,7.986448287963867,1856,True
Dijkstra,"(50, 50)",0.25,11.494930982589722,1857,True
Dijkstra,"(50, 50)",0.25,0.010938405990600586,3,False
Dijkstra,"(50, 50)",0.25,11.507100582122803,1863,True
Dijkstra,"(50, 50)",0.25,8.008773565292358,1853,True
Dijkstra,"(50, 50)",0.25,11.525898218154907,1862,True
GreedyBFS,"(50, 50)",0.25,0.8871562480926514,144,True
GreedyBFS,"(50, 50)",0.25,0.6053628921508789,143,True
GreedyBFS,"(50, 50)",0.25,0.9692254066467285,154,True
GreedyBFS,"(50, 50)",0.25,0.8600807189941406,198,True
GreedyBFS,"(50, 50)",0.25,0.05963492393493652,10,False
GreedyBFS,"(50, 50)",0.25,0.013595104217529297,4,False
GreedyBFS,"(50, 50)",0.25,0.900545597076416,141,True
GreedyBFS,"(50, 50)",0.25,0.501460075378418,111,True
GreedyBFS,"(50, 50)",0.25,0.042403221130371094,7,False
GreedyBFS,"(50, 50)",0.25,0.5517253875732422,127,True
GreedyBFS,"(50, 50)",0.25,11.550633907318115,1865,False
GreedyBFS,"(50, 50)",0.25,0.019165754318237305,5,False
GreedyBFS,"(50, 50)",0.25,0.8249974250793457,132,True
GreedyBFS,"(50, 50)",0.25,0.6306135654449463,139,True
GreedyBFS,"(50, 50)",0.25,0.8965492248535156,140,True
GreedyBFS,"(50, 50)",0.25,11.468102216720581,1851,False
GreedyBFS,"(50, 50)",0.25,0.6209473609924316,147,True
