algorithm,board_size,elapsed_time,steps,path_found,total_cost
BFS,"(100, 100)",68.34654593467712,5282,True,386
BFS,"(100, 100)",91.19454646110535,6876,True,279
BFS,"(100, 100)",81.22238683700562,6176,True,474
BFS,"(100, 100)",80.53835654258728,6166,True,391
BFS,"(100, 100)",100.75746989250183,7328,True,293
BFS,"(100, 100)",94.90811777114868,6956,True,384
BFS,"(100, 100)",76.71720385551453,5749,True,367
BFS,"(100, 100)",88.77980279922485,6545,True,303
BFS,"(100, 100)",88.34800004959106,6504,True,366
BFS,"(100, 100)",59.59854769706726,4568,True,413
BFS,"(100, 100)",72.73192501068115,5461,True,363
BFS,"(100, 100)",81.87492799758911,6083,True,271
BFS,"(100, 100)",88.39569854736328,6500,True,434
BFS,"(100, 100)",103.84977722167969,7579,True,309
BFS,"(100, 100)",95.70714950561523,6975,True,403
BFS,"(100, 100)",79.84298062324524,5954,True,401
BFS,"(100, 100)",113.33657050132751,8309,True,402
BFS,"(100, 100)",96.9208984375,7185,True,401
BFS,"(100, 100)",54.97406983375549,4320,True,490
BFS,"(100, 100)",84.89510846138,6417,True,324
BFS,"(100, 100)",66.86989283561707,5152,True,328
BFS,"(100, 100)",96.20140314102173,7202,True,304
BFS,"(100, 100)",96.85623216629028,7243,True,293
BFS,"(100, 100)",105.38812685012817,7792,True,420
BFS,"(100, 100)",92.14864587783813,6932,True,308
BFS,"(100, 100)",89.69220447540283,6729,True,417
BFS,"(100, 100)",108.49771761894226,8014,True,328
BFS,"(100, 100)",90.69572448730469,6813,True,301
BFS,"(100, 100)",68.12610578536987,5228,True,436
BFS,"(100, 100)",78.79140162467957,6024,True,393
BFS,"(100, 100)",77.83244156837463,5937,True,396
BFS,"(100, 100)",82.1621766090393,6233,True,324
BFS,"(100, 100)",71.5650622844696,5560,True,324
BFS,"(100, 100)",82.9509756565094,6276,True,328
BFS,"(100, 100)",111.26926255226135,8180,True,379
BFS,"(100, 100)",86.52057147026062,6515,True,358
BFS,"(100, 100)",61.73788094520569,4852,True,324
BFS,"(100, 100)",106.23331880569458,7856,True,403
BFS,"(100, 100)",54.78333497047424,4284,True,346
BFS,"(100, 100)",93.94485664367676,7035,True,287
BFS,"(100, 100)",103.34821557998657,7674,True,355
BFS,"(100, 100)",64.73649334907532,4997,True,351
BFS,"(100, 100)",93.14435458183289,6927,True,323
BFS,"(100, 100)",110.79499006271362,8132,True,359
BFS,"(100, 100)",78.92474889755249,6001,True,384
BFS,"(100, 100)",96.22170233726501,7142,True,327
BFS,"(100, 100)",58.52739381790161,4598,True,429
BFS,"(100, 100)",62.29969882965088,4849,True,295
BFS,"(100, 100)",76.67979788780212,5818,True,262
BFS,"(100, 100)",97.36978793144226,7237,True,389
BFS,"(100, 100)",85.38804864883423,6435,True,384
BFS,"(100, 100)",92.4501564502716,6900,True,347
BFS,"(100, 100)",102.3012285232544,7601,True,274
BFS,"(100, 100)",91.02005863189697,6846,True,387
BFS,"(100, 100)",88.97480893135071,6680,True,363
BFS,"(100, 100)",66.88779878616333,5198,True,444
BFS,"(100, 100)",75.14314889907837,5710,True,380
BFS,"(100, 100)",109.57210183143616,8074,True,331
BFS,"(100, 100)",101.44326686859131,7527,True,315
BFS,"(100, 100)",48.33293533325195,3871,True,323
BFS,"(100, 100)",96.88522028923035,7244,True,375
BFS,"(100, 100)",42.095369815826416,3398,True,494
BFS,"(100, 100)",119.69840574264526,8753,True,414
BFS,"(100, 100)",90.79738974571228,6776,True,438
BFS,"(100, 100)",74.98204612731934,5733,True,396
BFS,"(100, 100)",92.27253127098083,6877,True,398
BFS,"(100, 100)",104.95804905891418,7789,True,347
BFS,"(100, 100)",122.63916492462158,8971,True,306
BFS,"(100, 100)",53.48545265197754,4207,True,344
BFS,"(100, 100)",56.36073923110962,4425,True,289
BFS,"(100, 100)",52.808698415756226,4150,True,383
BFS,"(100, 100)",90.19152760505676,6681,True,354
BFS,"(100, 100)",63.668466329574585,4976,True,334
BFS,"(100, 100)",71.64376401901245,5484,True,419
BFS,"(100, 100)",52.90641927719116,4229,True,353
BFS,"(100, 100)",106.82638907432556,7838,True,332
BFS,"(100, 100)",45.950998067855835,3636,True,295
BFS,"(100, 100)",70.24180269241333,5368,True,300
BFS,"(100, 100)",86.3887231349945,6513,True,301
BFS,"(100, 100)",87.38460493087769,6590,True,348
BFS,"(100, 100)",39.35700607299805,3175,True,298
BFS,"(100, 100)",108.39051795005798,8021,True,364
BFS,"(100, 100)",63.430535316467285,4886,True,375
BFS,"(100, 100)",76.89819478988647,5847,True,387
BFS,"(100, 100)",81.12084674835205,6144,True,324
BFS,"(100, 100)",87.97572684288025,6621,True,495
BFS,"(100, 100)",67.9589409828186,5218,True,346
BFS,"(100, 100)",89.73485827445984,6743,True,363
BFS,"(100, 100)",66.15540313720703,5133,True,415
BFS,"(100, 100)",81.94379997253418,6152,True,467
BFS,"(100, 100)",49.83199691772461,3931,True,418
BFS,"(100, 100)",100.17337226867676,7404,True,459
BFS,"(100, 100)",90.33610534667969,6777,True,277
BFS,"(100, 100)",95.04357028007507,7082,True,369
BFS,"(100, 100)",78.73800420761108,5990,True,331
BFS,"(100, 100)",64.3873770236969,4982,True,434
BFS,"(100, 100)",84.19589257240295,6305,True,411
BFS,"(100, 100)",93.90184831619263,6977,True,346
BFS,"(100, 100)",78.40121173858643,6021,True,377
BFS,"(100, 100)",118.0794267654419,8614,True,345
DFS,"(100, 100)",5.834933519363403,498,True,1013
DFS,"(100, 100)",22.35900068283081,1853,True,443
DFS,"(100, 100)",2.674182176589966,229,True,553
DFS,"(100, 100)",6.293247699737549,543,True,435
DFS,"(100, 100)",2.313905954360962,199,True,403
DFS,"(100, 100)",2.3510611057281494,201,True,429
DFS,"(100, 100)",3.5816869735717773,305,True,448
DFS,"(100, 100)",2.489138603210449,215,True,360
DFS,"(100, 100)",3.836021900177002,332,True,645
DFS,"(100, 100)",3.129754066467285,265,True,528
DFS,"(100, 100)",3.692411422729492,317,True,591
DFS,"(100, 100)",20.62737274169922,1701,True,324
DFS,"(100, 100)",21.16696834564209,1743,True,473
DFS,"(100, 100)",2.3179187774658203,199,True,411
DFS,"(100, 100)",2.770392656326294,237,True,430
DFS,"(100, 100)",3.8630917072296143,328,True,672
DFS,"(100, 100)",6.287049770355225,543,True,752
DFS,"(100, 100)",2.364211082458496,203,True,475
DFS,"(100, 100)",3.9428462982177734,334,True,599
DFS,"(100, 100)",3.3036248683929443,283,True,528
DFS,"(100, 100)",2.7137577533721924,230,True,332
DFS,"(100, 100)",2.4109995365142822,207,True,275
DFS,"(100, 100)",2.5482101440429688,215,True,272
DFS,"(100, 100)",3.189044952392578,271,True,509
DFS,"(100, 100)",2.6896724700927734,233,True,358
DFS,"(100, 100)",2.357055425643921,199,True,260
DFS,"(100, 100)",2.287621021270752,199,True,234
DFS,"(100, 100)",2.302222967147827,199,True,312
DFS,"(100, 100)",3.7171261310577393,316,True,693
DFS,"(100, 100)",2.9290568828582764,252,True,397
DFS,"(100, 100)",3.002389907836914,254,True,432
DFS,"(100, 100)",2.6868622303009033,227,True,511
DFS,"(100, 100)",2.6890900135040283,232,True,451
DFS,"(100, 100)",3.2800803184509277,281,True,455
DFS,"(100, 100)",9.130062103271484,785,True,725
DFS,"(100, 100)",8.576690673828125,735,True,870
DFS,"(100, 100)",2.627408742904663,226,True,375
DFS,"(100, 100)",2.296398639678955,199,True,381
DFS,"(100, 100)",6.4720618724823,545,True,1065
DFS,"(100, 100)",2.717184543609619,235,True,289
DFS,"(100, 100)",2.703139066696167,236,True,471
DFS,"(100, 100)",2.5037014484405518,213,True,318
DFS,"(100, 100)",3.3942015171051025,289,True,484
DFS,"(100, 100)",2.9192874431610107,256,True,540
DFS,"(100, 100)",3.313852071762085,281,True,482
