algorithm,elapsed_time_mean,elapsed_time_std,elapsed_time_min,elapsed_time_max,steps_mean,steps_std,steps_min,steps_max,total_cost_mean,total_cost_std,total_cost_min,total_cost_max
AStar,58.524409716129306,20.489207644949076,22.108104467391968,111.90848970413208,4572.58,1459.1332848750671,1856,8177,299.23,58.392412506967354,199,493
BFS,83.27008554458618,18.47482474468594,39.35700607299805,122.63916492462158,6266.68,1267.5251148469117,3175,8971,362.94,53.50933459583372,262,495
DFS,5.565189321041107,6.1217316112444875,2.287621021270752,34.61432981491089,468.78,498.86290054017195,199,2762,503.51,219.90982977648645,234,1570
Dijkstra,81.03220989465713,18.127180287943528,36.9721736907959,124.55893802642822,6129.82,1244.0518874170234,3005,8971,298.9,58.56887510711754,199,493
GBFS,6.01901817560196,6.335762769580062,2.289340019226074,43.03518462181091,508.59,520.8006286944025,199,3482,452.86,110.15223808691111,273,788
