algorithm,board_size,elapsed_time,steps,path_found,total_cost
AStar,"(25, 25)",0.31606197357177734,220,True,56
AStar,"(25, 25)",0.3952004909515381,282,True,113
AStar,"(25, 25)",0.3159501552581787,217,True,91
AStar,"(25, 25)",0.47852110862731934,346,True,93
AStar,"(25, 25)",0.36232900619506836,256,True,90
AStar,"(25, 25)",0.40305018424987793,308,True,73
AStar,"(25, 25)",0.43526792526245117,321,True,75
AStar,"(25, 25)",0.5343794822692871,372,True,89
AStar,"(25, 25)",0.39095497131347656,285,True,108
AStar,"(25, 25)",0.38829731941223145,283,True,99
