algorithm,elapsed_time_mean,elapsed_time_std,elapsed_time_min,elapsed_time_max,steps_mean,steps_std,steps_min,steps_max,total_cost_mean,total_cost_std,total_cost_min,total_cost_max
AStar,0.5987452054023743,0.14633978256658978,0.3189504146575928,0.964364767074585,331.94,84.87052765622742,168,547,inf,,52.0,inf
BFS,0.6915597939491271,0.1288435867022779,0.3904075622558594,0.9655492305755616,400.43,77.49868099235985,219,564,inf,,68.0,inf
DFS,0.13802791118621824,0.0555263013734775,0.096276044845581,0.4727866649627685,67.82,31.1912899004925,49,271,inf,,66.0,inf
Dijkstra,0.6813107180595398,0.13376555858650804,0.4037106037139892,0.9931552410125732,393.41,79.30405558559558,219,564,inf,,52.0,inf
GBFS,0.1500718259811401,0.06378578149979997,0.09627366065979,0.4763851165771484,74.59,35.74463158110162,49,266,inf,,76.0,inf
