algorithm,elapsed_time_mean,elapsed_time_std,elapsed_time_min,elapsed_time_max,steps_mean,steps_std,steps_min,steps_max,total_cost_mean,total_cost_std,total_cost_min,total_cost_max
AStar,5.925700132846832,1.650725872043597,2.483203411102295,9.83030605316162,1268.07,330.5516740116727,545,2031,inf,,102.0,inf
BFS,6.90871376991272,1.650195965765856,3.5315513610839844,9.986884832382202,1557.3,329.75593974632176,811,2248,inf,,132.0,inf
DFS,0.7701059818267822,0.49417723223046284,0.4452531337738037,3.050957441329956,166.32,109.78085424879859,99,674,inf,,139.0,inf
Dijkstra,7.201189088821411,1.6405153841259417,3.6724894046783447,11.01842737197876,1527.83,322.8420840165067,822,2248,inf,,102.0,inf
GBFS,0.8012939620018006,0.48135006484475984,0.4516477584838867,3.284065961837769,174.29,108.64401093070485,99,730,inf,,132.0,inf
