algorithm,board_size,elapsed_time,steps,path_found,total_cost
BFS,"(50, 50)",6.749680757522583,1610,True,152.0
BFS,"(50, 50)",6.074236869812012,1488,True,253.0
BFS,"(50, 50)",6.202571630477905,1515,True,191.0
BFS,"(50, 50)",5.55059289932251,1371,True,201.0
BFS,"(50, 50)",7.054279565811157,1719,True,191.0
BFS,"(50, 50)",5.521090507507324,1356,True,207.0
BFS,"(50, 50)",6.329948663711548,1543,True,152.0
BFS,"(50, 50)",5.606656789779663,1372,True,200.0
BFS,"(50, 50)",4.479012966156006,1105,True,209.0
BFS,"(50, 50)",5.5944483280181885,1371,True,199.0
BFS,"(50, 50)",5.090499401092529,1246,True,222.0
BFS,"(50, 50)",5.201412916183472,1276,True,187.0
BFS,"(50, 50)",6.60986065864563,1597,True,219.0
BFS,"(50, 50)",5.943741083145142,1443,True,239.0
BFS,"(50, 50)",8.305829524993896,1985,True,251.0
BFS,"(50, 50)",7.369595050811768,1775,True,213.0
BFS,"(50, 50)",6.487285137176514,1574,True,161.0
BFS,"(50, 50)",4.931653738021851,1214,True,170.0
BFS,"(50, 50)",7.2347307205200195,1746,True,154.0
BFS,"(50, 50)",7.405816316604614,1782,True,150.0
BFS,"(50, 50)",8.164610147476196,1938,True,224.0
BFS,"(50, 50)",7.045408010482788,1701,True,152.0
BFS,"(50, 50)",8.308719396591187,1985,True,187.0
BFS,"(50, 50)",4.891116142272949,1205,True,265.0
BFS,"(50, 50)",8.609488725662231,2033,True,207.0
BFS,"(50, 50)",5.446110725402832,1346,True,191.0
BFS,"(50, 50)",4.69942831993103,1169,True,160.0
BFS,"(50, 50)",8.175196409225464,1943,True,213.0
BFS,"(50, 50)",3.5705714225769043,891,True,185.0
BFS,"(50, 50)",7.135670185089111,1717,True,153.0
BFS,"(50, 50)",8.026789426803589,1910,True,200.0
BFS,"(50, 50)",8.830016851425171,2027,True,186.0
BFS,"(50, 50)",4.6957104206085205,1158,True,144.0
BFS,"(50, 50)",4.115411996841431,1011,True,175.0
BFS,"(50, 50)",5.276005506515503,1297,True,163.0
BFS,"(50, 50)",6.336287975311279,1534,True,181.0
BFS,"(50, 50)",5.258534669876099,1276,True,222.0
BFS,"(50, 50)",5.845146179199219,1406,True,209.0
BFS,"(50, 50)",7.738749027252197,1841,True,158.0
BFS,"(50, 50)",7.947380542755127,1886,True,177.0
BFS,"(50, 50)",9.225558996200562,2166,True,245.0
BFS,"(50, 50)",7.134037017822266,1714,True,202.0
BFS,"(50, 50)",8.144801139831543,1940,True,170.0
BFS,"(50, 50)",9.625725746154785,2248,True,159.0
BFS,"(50, 50)",4.039234638214111,1010,True,189.0
BFS,"(50, 50)",5.180633068084717,1275,True,221.0
BFS,"(50, 50)",4.200259208679199,1054,True,208.0
BFS,"(50, 50)",6.659972667694092,1589,True,205.0
BFS,"(50, 50)",8.239501953125,1950,True,191.0
BFS,"(50, 50)",3.5315513610839844,866,True,185.0
BFS,"(50, 50)",6.20615029335022,1436,True,197.0
BFS,"(50, 50)",7.5445239543914795,1624,True,243.0
BFS,"(50, 50)",4.085691690444946,913,True,177.0
BFS,"(50, 50)",5.787319660186768,1266,True,202.0
BFS,"(50, 50)",6.928292512893677,1493,True,233.0
BFS,"(50, 50)",4.342308521270752,952,True,inf
BFS,"(50, 50)",5.2001519203186035,1138,True,158.0
BFS,"(50, 50)",8.938867568969727,1857,True,235.0
BFS,"(50, 50)",7.113480091094971,1506,True,179.0
BFS,"(50, 50)",6.862287998199463,1472,True,inf
BFS,"(50, 50)",7.373594522476196,1557,True,231.0
BFS,"(50, 50)",7.164051294326782,1527,True,191.0
BFS,"(50, 50)",7.181941747665405,1523,True,180.0
BFS,"(50, 50)",9.407023191452026,1961,True,205.0
BFS,"(50, 50)",7.775010585784912,1656,True,200.0
BFS,"(50, 50)",6.184171915054321,1322,True,223.0
BFS,"(50, 50)",7.8170294761657715,1676,True,142.0
BFS,"(50, 50)",9.93762731552124,2058,True,196.0
BFS,"(50, 50)",8.92386794090271,1873,True,233.0
BFS,"(50, 50)",8.258280992507935,1737,True,236.0
BFS,"(50, 50)",8.02076768875122,1681,True,183.0
BFS,"(50, 50)",3.6794278621673584,811,True,184.0
BFS,"(50, 50)",8.00010371208191,1675,True,164.0
BFS,"(50, 50)",8.605742454528809,1791,True,215.0
BFS,"(50, 50)",9.142147302627563,1901,True,157.0
BFS,"(50, 50)",8.310964107513428,1759,True,178.0
BFS,"(50, 50)",6.322782278060913,1366,True,inf
BFS,"(50, 50)",8.662884712219238,1802,True,210.0
BFS,"(50, 50)",8.10543179512024,1709,True,215.0
BFS,"(50, 50)",6.858460903167725,1454,True,200.0
BFS,"(50, 50)",8.209225177764893,1718,True,165.0
BFS,"(50, 50)",8.475788354873657,1782,True,177.0
BFS,"(50, 50)",9.39186429977417,1948,True,151.0
BFS,"(50, 50)",6.502994537353516,1387,True,210.0
BFS,"(50, 50)",7.0785017013549805,1514,True,132.0
BFS,"(50, 50)",9.414088010787964,1954,True,212.0
BFS,"(50, 50)",6.593257904052734,1405,True,179.0
BFS,"(50, 50)",8.518995761871338,1787,True,212.0
BFS,"(50, 50)",5.7028114795684814,1214,True,252.0
BFS,"(50, 50)",8.773736476898193,1836,True,136.0
BFS,"(50, 50)",6.588793754577637,1400,True,207.0
BFS,"(50, 50)",9.396346092224121,1944,True,176.0
BFS,"(50, 50)",6.692326307296753,1417,True,255.0
BFS,"(50, 50)",5.359061241149902,1174,True,220.0
BFS,"(50, 50)",4.507796764373779,983,True,205.0
BFS,"(50, 50)",9.986884832382202,2064,True,199.0
BFS,"(50, 50)",9.314520120620728,1934,True,inf
BFS,"(50, 50)",9.550699472427368,1971,True,150.0
BFS,"(50, 50)",6.767875909805298,1431,True,194.0
BFS,"(50, 50)",5.464851379394531,1197,True,170.0
DFS,"(50, 50)",2.0920186042785645,460,True,219.0
DFS,"(50, 50)",0.5232229232788086,112,True,267.0
DFS,"(50, 50)",0.9539227485656738,206,True,223.0
DFS,"(50, 50)",0.48336172103881836,99,True,202.0
DFS,"(50, 50)",0.4452531337738037,99,True,231.0
DFS,"(50, 50)",0.6382701396942139,135,True,254.0
DFS,"(50, 50)",0.49132370948791504,99,True,177.0
DFS,"(50, 50)",0.7514739036560059,166,True,333.0
DFS,"(50, 50)",1.388570785522461,302,True,274.0
DFS,"(50, 50)",0.7144379615783691,155,True,288.0
DFS,"(50, 50)",0.4822239875793457,103,True,241.0
DFS,"(50, 50)",0.7027873992919922,151,True,238.0
DFS,"(50, 50)",0.5525991916656494,119,True,216.0
DFS,"(50, 50)",0.7622969150543213,158,True,355.0
DFS,"(50, 50)",0.8992555141448975,195,True,290.0
DFS,"(50, 50)",0.9996962547302246,222,True,245.0
DFS,"(50, 50)",1.3887159824371338,302,True,206.0
DFS,"(50, 50)",0.5173184871673584,113,True,165.0
DFS,"(50, 50)",0.4634113311767578,99,True,180.0
DFS,"(50, 50)",0.4847109317779541,107,True,144.0
DFS,"(50, 50)",0.6151249408721924,135,True,287.0
DFS,"(50, 50)",0.5556657314300537,113,True,175.0
DFS,"(50, 50)",0.4790031909942627,99,True,222.0
DFS,"(50, 50)",0.7137744426727295,153,True,344.0
DFS,"(50, 50)",1.1933083534240723,270,True,349.0
DFS,"(50, 50)",0.6448018550872803,138,True,223.0
DFS,"(50, 50)",0.5140345096588135,109,True,183.0
DFS,"(50, 50)",0.4860107898712158,101,True,200.0
DFS,"(50, 50)",0.5511870384216309,115,True,252.0
