algorithm,elapsed_time_mean,elapsed_time_std,elapsed_time_min,elapsed_time_max,steps_mean,steps_std,steps_min,steps_max,total_cost_mean,total_cost_std,total_cost_min,total_cost_max
AStar,0.5822607755661011,0.2022363663610785,0.3132398128509521,0.9423675537109376,362.6,111.74494768593941,207,545,inf,,50.0,inf
BFS,0.9337461709976196,0.08118752259631809,0.8109135627746582,1.0725154876708984,557.3,38.282720209863164,498,611,inf,,65.0,inf
DFS,0.07759430408477777,0.008115134865105957,0.0701282024383544,0.094672679901123,52.1,4.38304815295373,49,61,inf,,89.0,inf
Dijkstra,0.8930696010589599,0.11109700063708886,0.6375970840454102,1.032270431518555,537.1,58.37893455691016,404,609,inf,,50.0,inf
GreedyBFS,0.08803553581237786,0.017228991740185332,0.0731308460235595,0.1247522830963134,58.0,12.009255689767881,49,83,inf,,78.0,inf
